ID,Name,Volume,Price,Sale Price,Sale Ends,Proof,Type,Category,url,image,relative_1,relative_2,relative_3
92004,Fee Brothers Orange Bitters,5.0 Oz,$6.99 ,-,-,9,Bitters-beverage,Bitters-beverage,/products/detail/92004/fee_brothers_orange_bitters,FALSE,92001,92003,92002
92003,Fee Brothers Peach Bitters,5.0 Oz,$6.99 ,-,-,1.7,Bitters-beverage,Bitters-beverage,/products/detail/92003/fee_brothers_peach_bitters,FALSE,92004,92001,92002
5527,Fernet Gancia Liqueur,750mL,$24.99 ,$22.99 ,10/30/2016,80,Cordials Liqueurs & Specialtie,Cordials Liqueurs & Specialti,/products/detail/5527/fernet_gancia_liqueur,FALSE,4540,5962,5525
3614,Finlandia Vodka,1.75L,$22.99 ,-,-,80,Vodka Imported,Vodka Imported,/products/detail/3614/finlandia_vodka,FALSE,8112,8068,3802
8910,Finlandia Vodka,50mL,$0.99 ,-,-,80,Vodka Imported,Vodka Imported,/products/detail/8910/finlandia_vodka,FALSE,3574,3012,3562
5191,Fireball Cinnamon Whiskey,375mL,$9.99 ,-,-,66,Cordials Liqueurs & Specialtie,Schnapps Imported,/products/detail/5191/fireball_cinnamon_whiskey,FALSE,5394,3636,3562
5033,Fireball Cinnamon Whisky,Liter,$17.99 ,-,-,66,Cordials Liqueurs & Specialtie,Schnapps Imported,/products/detail/5033/fireball_cinnamon_whisky,FALSE,5394,3636,3562
5113,Fireball Cinnamon Whisky,50mL,$0.99 ,-,-,66,Cordials Liqueurs & Specialtie,Schnapps Imported,/products/detail/5113/fireball_cinnamon_whisky,FALSE,5491,5399,3562
5103,Fireball Cinnamon Whisky,1.75L,$28.99 ,$24.99 ,10/30/2016,66,Cordials Liqueurs & Specialtie,Schnapps Imported,/products/detail/5103/fireball_cinnamon_whisky,TRUE,5105,5399,3562
5138,Fireball Cinnamon Whisky,750mL,$15.99 ,$13.99 ,10/30/2016,66,Cordials Liqueurs & Specialtie,Schnapps Imported,/products/detail/5138/fireball_cinnamon_whisky,TRUE,5134,5101,5661
5153,Fireball Cinnamon Whisky Traveler,750mL,$15.99 ,$13.99 ,10/30/2016,66,Cordials Liqueurs & Specialtie,Schnapps Imported,/products/detail/5153/fireball_cinnamon_whisky_traveler,FALSE,5134,5138,5101
2598,Firefly Apple Pie Moonshine,750mL,$19.99 ,$16.99 ,10/30/2016,60.3,Whiskey American,Blended Whiskey,/products/detail/2598/firefly_apple_pie_moonshine,FALSE,2910,2921,2809
3237,Firefly Sweet Tea Vodka,1.75L,$29.99 ,-,-,70,Vodka American,Vodka American Flavored,/products/detail/3237/firefly_sweet_tea_vodka,FALSE,3660,3515,3840
3265,Firefly Sweet Tea Vodka,50mL,$0.49 ,-,-,70,Vodka American,Vodka American Flavored,/products/detail/3265/firefly_sweet_tea_vodka,FALSE,3606,4135,4157
3218,Firefly Sweet Tea Vodka,750mL,$14.99 ,$12.99 ,10/30/2016,70,Vodka American,Vodka American Flavored,/products/detail/3218/firefly_sweet_tea_vodka,FALSE,3967,3989,3996
5643,Flag Hill Blueberry Liqueur,375mL,$14.99 ,-,-,46,Cordials Liqueurs & Specialtie,Cordials Liqueurs & Specialti,/products/detail/5643/flag_hill_blueberry_liqueur,TRUE,5633,5641,5627
5633,Flag Hill Cranberry Liqueur,375mL,$14.99 ,-,-,43,Cordials Liqueurs & Specialtie,Cordials Liqueurs & Specialti,/products/detail/5633/flag_hill_cranberry_liqueur,TRUE,5643,5641,5627
5641,Flag Hill Raspberry Liqueur,375mL,$14.99 ,-,-,43,Cordials Liqueurs & Specialtie,Cordials Liqueurs & Specialti,/products/detail/5641/flag_hill_raspberry_liqueur,TRUE,5633,5643,5627
5983,Flag Hill Spiced Rum,750mL,$29.99 ,$25.99 ,10/30/2016,80,Rum American,Rum American Flavored,/products/detail/5983/flag_hill_spiced_rum,FALSE,4121,4131,4029
